courseCode,courseName,courseDesc,preReqs,FYS,SOPH,DIAP,WRIT,CBLR,COEX
AFRI 0090,An Introduction to Africana Studies,"This course introduces students to the vibrant and contested field of Africana Studies by critically exploring and analyzing the links and disjunctures in the cultural, political, and intellectual practices and experiences of people of African descent throughout the African diaspora. Beginning with a critical overview of the history, theoretical orientations, and multiple methodological strategies of the discipline, the course is divided into three thematic units that examine intellectuals, politics, and movements; identity construction and formation; and literary, cultural, and aesthetic theories and practices in the African diaspora.",[],FALSE,FALSE,TRUE,TRUE,FALSE,FALSE
AFRI 0670,Global Black Radicalism,"The decade from the mid-Sixties until the mid-Seventies witnessed the rise of Black Radicalism as a global phenomenon. The emergence of Black Power in the US, Brazil and the Caribbean, the consolidation of liberation struggles in Portuguese Africa and the rise of a Black Consciousness trend in Apartheid South Africa all represent key moments. What led young activists to embrace “Black Power?” What led to the emergence of Marxist movements in Portuguese Africa? What events in the Caribbean gave ascendancy to radical tendencies? And what forces contributed to the decline of these movements? This course seeks to answer these questions.",[],FALSE,TRUE,TRUE,FALSE,FALSE,FALSE
AFRI 0690,"Gospel Titans, Divas, and Dynasties","The course will explore some of contemporary black gospel music’s most celebrated artists, as a lens into gospel music history and the challenges of commercializing religious folk music. This course will explore gospel music performance and commerce as defined by artists such as The Clark Sisters, who were recently celebrated in the biopic The Clark Sisters: First Ladies of Gospel, which first aired on the Lifetime network Sunday, April 12, 2020. The course will also explore other gospel music-making families, such as The Winans, The Staples Singers, Mary Mary, and The Crouches.",[],TRUE,FALSE,TRUE,TRUE,FALSE,FALSE
AFRI 0840,"Monuments, History, and Memory in the United States","In the wake of the killing of George Floyd, monuments tied to the violent histories of slavery, colonialism, and white supremacy have received renewed interest and debate. Protestors and individuals have defaced, toppled, and petitioned for the removal of Confederate monuments and statues to the white male power elite. This symbolic retributive violence and sometimes ritual care signals a challenge to the long-lived monument. This reading course explores public monuments and the ways in which artists and communities have negotiated history and the politics of memory and remembrance in the United States. We will evaluate the meaning and purpose of monuments that define American public spaces, investigating the problematic narratives and historic controversies surrounding such objects. The removal of monuments asks us to question whose histories have been forgotten, ignored, or suppressed, and what monumental justice might look like.",[],FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
AFRI 0850,The Politics of Gender in the Caribbean Novel,"This course will examine 20th Century Caribbean Literature as a genre, which poses challenges to colonialism and raises profound questions of sovereignty. It will examine how Contemporary Caribbean Literature contributes to the world of literature in general.",[],FALSE,FALSE,TRUE,FALSE,FALSE,FALSE
AFRI 0980,Fela Kuti: African Freedom from Afrobeat to Afrobeats,"Miles Davis famously described Fela Kuti (1938-1997) as “the future of music.” Beyoncé’s attempt “to do something that sounds like Fela” saw her compose an unpublished 20-track album. Arguably Africa’s most prolific and controversial artist of the twentieth century, Fela continues to be invoked as musical genius and as icon of popular struggle. This course invites students to explore the complexities of Fela’s art and activism. We mobilize his life/work as a springboard for examining emergent debates about African identity—from postcolonial masculinity to the creative logics of African cities, from contemporary African youth culture to the gendered politics of cultural memory.",[],FALSE,FALSE,TRUE,FALSE,FALSE,FALSE
AMST 0070,An Introduction to Africana Studies (AFRI 0090),Interested students must register for AFRI 0090.,[],FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
AMST 0192G,Japanese American Incarceration: Past & Present Encounters with the Racial State,"How do we situate the history of World War II Japanese American incarceration not as an exceptional moment of wartime hysteria, but as one example of an American tradition of racialized exclusion and incarceration in the service of white supremacy? How does public memory surrounding Japanese American incarceration shape our understanding of the relationships between immigration, race, exclusion, and incarceration today? Drawing from interdisciplinary sources from photographs to literature, academic texts, films, exhibits, and poetry, this course traces the history of incarceration in the United States as a mechanism of racialized social control by focusing on Japanese American history.",[],FALSE,FALSE,FALSE,TRUE,FALSE,FALSE
AMST 0192H,Blurred and Faded: Disrupting the Color-Line Through Photography,"Blurred and Faded: Disrupting the Color-Line Through Photography explores visual and literary representations of racial mixture. Focusing on Harlem Renaissance photography, this course considers the impact that depictions of racial-mixture have had on systems of racial classification. Over the semester, we will trace the visual resonance of these historical images in our contemporary moment. Readings include Nella Larsen's Passing And Jessie Redman Fauset's Plum Bun: A Novel Without a Moral.",[],FALSE,FALSE,FALSE,TRUE,FALSE,FALSE
AMST 0192J,"Religion, Politics, and Culture in America, 1865 - Present (HIST 0253)",Interested students must register for HIST 0253.,[],FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
ANTH 0500,Past Forward: Discovering Anthropological Archaeology,"This course offers a broad journey through the human past, from material culture crafted by our evolutionary ancestors to the remnants of the recent historic past. To facilitate this journey, the class explores the methods, concepts, and theories that anthropologists employ in the study of past peoples, places, and things. Case studies stretch across the globe. As a hands-on endeavor, archaeology focuses on tangible evidence. In this course, small-group discussion, laboratory, and field exercises will complement lectures, leading to an understanding of how anthropologists study the past and how that knowledge affects the present.",[],FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
APMA 0330,"Methods of Applied Mathematics I, II","This course will cover mathematical techniques involving ordinary differential equations used in the analysis of physical, biological, and economic phenomena. The course emphasizes established methods and their applications rather than rigorous foundation. Topics include: first and second order differential equations, an introduction to numerical methods, series solutions, and Laplace transformations.",[],FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
APMA 0350,Applied Ordinary Differential Equations,"This course provides a comprehensive introduction to ordinary differential equations and their applications. During the course, we will see how applied mathematicians use ordinary differential equations to solve practical applications, from understanding the underlying problem, creating a differential-equations model, solving the model using analytical, numerical, or qualitative methods, and interpreting the findings in terms of the original problem. We will also learn about the underlying rigorous theoretical foundations of differential equations. Format: lectures and problem-solving workshops.
Prerequisites: MATH 0100, MATH 0170, MATH 0180, MATH 0190, MATH 0200, MATH 0350 or advanced placement. MATH 0520 (can be taken concurrently).","[('APMA 0360', 0), ('APMA 0650', 0)]",FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
