courseCode,courseRating,freshmen,sophomores,juniors,seniors,gradStudents,avgHrs,maxHrs,readingsWorthwhile,materialsUseful,difficult,learnedALot,enjoyedCourse,timelyGrading,fairGrading,concentratorYes,concentratorNo,concentratorMaybe,requirementYes,requirementNo,expectedA,expectedB,expectedC,expectedS,expectedNC
AFRI 0090,4.67,12,6,6,6,0,"(5.090909090909091, 22)","(7.45, 20)","(1.1363636363636365, 22)","(1.1818181818181819, 22)","(2.272727272727273, 22)","(1.0454545454545454, 22)","(1.1363636363636365, 22)","(2.0454545454545454, 22)","(1.5909090909090908, 22)",9,6,7,13,9,10,8,2,0,0
AFRI 0670,4.38,0,20,0,0,1,"(2.5, 4)","(6.5, 4)","(4.5, 4)","(4.0, 4)","(2.25, 4)","(5.0, 4)","(5.0, 4)","(5.0, 4)","(4.5, 4)",1,3,0,0,4,4,0,0,0,0
AFRI 0690,,,,,,,,,,,,,,,,,,,,,,,,,
AFRI 0840,,,,,,,,,,,,,,,,,,,,,,,,,
AFRI 0850,3.16,2,1,3,2,0,,,,,,,,,,,,,,,,,,,
AFRI 0980,4.63,0,2,4,5,0,"(4.0, 3)","(8.666666666666666, 3)","(5.0, 4)","(5.0, 4)","(2.75, 4)","(5.0, 4)","(5.0, 4)","(4.5, 4)","(4.75, 4)",0,4,0,1,3,4,0,0,0,0
AMST 0070,,,,,,,,,,,,,,,,,,,,,,,,,
AMST 0192G,,,,,,,,,,,,,,,,,,,,,,,,,
AMST 0192H,,,,,,,,,,,,,,,,,,,,,,,,,
AMST 0192J,,,,,,,,,,,,,,,,,,,,,,,,,
ANTH 0500,4.34,5,11,7,4,1,"(3.130434782608696, 23)","(8.095238095238095, 21)","(4.25, 24)","(4.833333333333333, 24)","(2.875, 24)","(4.416666666666667, 24)","(4.416666666666667, 24)","(4.782608695652174, 23)","(4.916666666666667, 24)",12,8,4,11,13,17,4,0,2,0
APMA 0330,3.40,2,61,4,4,1,"(5.269230769230769, 26)","(10.28, 25)","(3.730769230769231, 26)","(4.269230769230769, 26)","(3.3461538461538463, 26)","(3.8461538461538463, 26)","(2.923076923076923, 26)","(2.8461538461538463, 26)","(3.8076923076923075, 26)",2,24,0,26,0,17,2,2,5,0
APMA 0350,4.49,72,109,20,0,1,"(4.0, 61)","(7.573770491803279, 61)","(4.923076923076923, 65)","(4.923076923076923, 65)","(2.6769230769230767, 65)","(4.630769230769231, 65)","(4.707692307692308, 65)","(4.984615384615385, 65)","(4.938461538461539, 65)",37,20,8,58,7,63,1,0,1,0
APMA 0360,4.36,1,68,109,33,0,"(5.569767441860465, 86)","(9.732558139534884, 86)","(4.681818181818182, 88)","(4.8522727272727275, 88)","(3.465909090909091, 88)","(4.420454545454546, 88)","(4.420454545454546, 88)","(4.954545454545454, 88)","(4.909090909090909, 88)",66,15,7,79,9,88,0,0,0,0
ARAB 0100,4.63,8,1,2,0,0,"(5.571428571428571, 7)","(8.571428571428571, 7)","(4.857142857142857, 7)","(4.571428571428571, 7)","(3.142857142857143, 7)","(5.0, 7)","(4.714285714285714, 7)","(5.0, 7)","(4.857142857142857, 7)",2,3,2,1,6,4,2,0,1,0
ARAB 0300,4.56,2,9,1,0,0,"(9.333333333333334, 9)","(15.0, 9)","(1.7777777777777777, 9)","(1.2222222222222223, 9)","(1.8888888888888888, 9)","(1.1111111111111112, 9)","(1.6666666666666667, 9)","(1.1111111111111112, 9)","(1.2222222222222223, 9)",2,7,0,4,5,6,2,0,1,0
ARAB 0450A,,,,,,,,,,,,,,,,,,,,,,,,,
ARAB 0500,4.63,0,3,7,8,0,"(5.923076923076923, 13)","(10.272727272727273, 11)","(1.0769230769230769, 13)","(1.3333333333333333, 12)","(1.7692307692307692, 13)","(1.5384615384615385, 13)","(1.3076923076923077, 13)","(1.3076923076923077, 13)","(1.5384615384615385, 13)",2,10,0,7,6,9,1,0,2,0
ARAB 0700,4.78,0,0,1,3,0,"(4.0, 4)","(8.25, 4)","(5.0, 4)","(4.75, 4)","(4.0, 4)","(4.25, 4)","(5.0, 4)","(5.0, 4)","(4.75, 4)",1,3,0,0,4,4,0,0,0,0
ARAB 0850,,,,,,,,,,,,,,,,,,,,,,,,,
ARCH 0033,,,,,,,,,,,,,,,,,,,,,,,,,
ARCH 0524,,,,,,,,,,,,,,,,,,,,,,,,,
ARCH 0526,,,,,,,,,,,,,,,,,,,,,,,,,
BIOL 0030,3.79,0,13,35,50,0,"(1.8076923076923077, 26)","(3.230769230769231, 26)","(3.96, 25)","(4.344827586206897, 29)","(1.5666666666666667, 30)","(4.344827586206897, 29)","(4.333333333333333, 30)","(4.533333333333333, 30)","(4.6, 30)",4,25,1,2,28,28,0,0,2,0
BIOL 0100,4.05,14,0,0,0,0,"(4.571428571428571, 7)","(8.428571428571429, 7)","(4.714285714285714, 7)","(4.4, 5)","(1.8571428571428572, 7)","(4.571428571428571, 7)","(4.571428571428571, 7)","(5.0, 7)","(4.714285714285714, 7)",3,0,4,1,6,7,0,0,0,0
BIOL 0140T,,,,,,,,,,,,,,,,,,,,,,,,,
BIOL 0170,4.37,31,38,21,26,0,"(2.8214285714285716, 28)","(7.285714285714286, 28)","(4.241379310344827, 29)","(4.689655172413793, 29)","(1.8571428571428572, 28)","(4.827586206896552, 29)","(4.862068965517241, 29)","(4.862068965517241, 29)","(4.896551724137931, 29)",12,11,6,5,24,28,0,0,0,0
BIOL 0190P,4.41,18,0,0,0,0,"(3.4375, 16)","(6.375, 16)","(4.375, 16)","(4.5625, 16)","(2.1875, 16)","(4.4375, 16)","(4.375, 16)","(4.8125, 16)","(4.875, 16)",3,8,5,0,16,15,0,0,0,0
BIOL 0190U,4.36,16,0,0,0,0,"(1.5, 16)","(4.4, 15)","(4.944444444444445, 18)","(4.647058823529412, 17)","(1.8333333333333333, 18)","(4.388888888888889, 18)","(4.833333333333333, 18)","(5.0, 18)","(4.944444444444445, 18)",7,10,1,7,11,18,0,0,0,0
BIOL 0210,4.26,68,102,63,89,0,"(2.1, 40)","(6.2, 40)","(4.5476190476190474, 42)","(4.976190476190476, 42)","(2.317073170731707, 41)","(4.5476190476190474, 42)","(4.690476190476191, 42)","(3.761904761904762, 42)","(4.523809523809524, 42)",14,23,5,20,22,35,3,0,3,0
BIOL 0380,4.05,10,29,25,18,1,"(5.133333333333334, 30)","(10.3, 30)","(3.875, 32)","(4.515151515151516, 33)","(2.9696969696969697, 33)","(4.545454545454546, 33)","(4.363636363636363, 33)","(4.3125, 32)","(4.25, 32)",19,9,5,16,17,29,2,0,2,0
BIOL 0410,4.67,3,9,18,13,0,"(3.064516129032258, 31)","(13.96774193548387, 31)","(4.46875, 32)","(4.78125, 32)","(3.34375, 32)","(4.8125, 32)","(4.71875, 32)","(4.75, 32)","(4.53125, 32)",14,16,2,24,7,15,12,1,2,0
BIOL 0470,3.87,6,48,42,36,0,"(7.375, 48)","(13.191489361702128, 47)","(4.770833333333333, 48)","(4.297872340425532, 47)","(4.083333333333333, 48)","(4.645833333333333, 48)","(4.083333333333333, 48)","(2.6875, 48)","(3.8958333333333335, 48)",37,11,0,39,8,25,18,2,0,0
BIOL 0480,4.37,3,18,27,23,0,"(4.916666666666667, 24)","(10.833333333333334, 24)","(4.2592592592592595, 27)","(4.777777777777778, 27)","(3.2962962962962963, 27)","(4.777777777777778, 27)","(4.555555555555555, 27)","(4.592592592592593, 27)","(4.592592592592593, 27)",15,11,1,21,6,24,3,0,0,0
BIOL 0530,4.07,28,72,41,21,1,"(3.2564102564102564, 78)","(10.428571428571429, 77)","(4.1625, 80)","(4.72289156626506, 83)","(3.5180722891566263, 83)","(4.650602409638554, 83)","(4.385542168674699, 83)","(3.5180722891566263, 83)","(4.27710843373494, 83)",38,35,6,50,32,62,17,0,0,0
BIOL 0600,4.24,0,4,4,3,0,"(4.7272727272727275, 11)","(16.272727272727273, 11)","(4.7272727272727275, 11)","(4.454545454545454, 11)","(3.8, 10)","(4.909090909090909, 11)","(4.909090909090909, 11)","(4.909090909090909, 11)","(4.5, 10)",8,3,0,4,7,7,2,0,0,0
BIOL 0800,3.96,9,184,84,40,0,"(6.01, 100)","(10.74, 100)","(3.9896907216494846, 97)","(4.533980582524272, 103)","(3.4854368932038833, 103)","(4.588235294117647, 102)","(4.194174757281553, 103)","(3.6601941747572817, 103)","(4.223300970873787, 103)",42,50,11,91,12,83,13,4,3,0
BIOL 0940A,4.38,0,19,0,0,0,"(1.5, 16)","(4.4, 15)","(4.944444444444445, 18)","(4.647058823529412, 17)","(2.0, 18)","(4.388888888888889, 18)","(4.833333333333333, 18)","(5.0, 18)","(4.944444444444445, 18)",7,10,1,7,11,18,0,0,0,0
CHEM 0080A,4.21,17,0,0,0,0,"(1.40625, 16)","(3.53125, 16)",,,,,,,,0,9,7,0,16,12,2,0,1,0
CHEM 0100,3.89,144,21,3,0,0,"(4.140350877192983, 57)","(7.2, 55)","(4.229508196721311, 61)","(4.327868852459017, 61)","(3.1311475409836067, 61)","(4.065573770491803, 61)","(3.3442622950819674, 61)","(4.180327868852459, 61)","(4.049180327868853, 61)",5,43,13,57,4,7,9,2,40,0
CHEM 0330L,,,,,,,,,,,,,,,,,,,,,,,,,
CHEM 0330,3.66,86,59,15,4,0,"(8.438356164383562, 73)","(15.845070422535212, 71)","(4.041095890410959, 73)","(3.863013698630137, 73)","(3.780821917808219, 73)","(4.082191780821918, 73)","(3.219178082191781, 73)","(4.109589041095891, 73)","(3.712328767123288, 73)",14,44,15,71,2,60,9,2,2,0
CHEM 0360L,,,,,,,,,,,,,,,,,,,,,,,,,
CHIN 0100,4.90,3,1,2,0,10,"(6.3, 10)","(9.8, 10)","(4.7272727272727275, 11)","(4.909090909090909, 11)","(3.909090909090909, 11)","(4.909090909090909, 11)","(5.0, 11)","(4.909090909090909, 11)","(4.818181818181818, 11)",0,8,3,1,10,8,1,0,1,0
CHIN 0300,4.38,5,10,4,0,0,"(7.529411764705882, 17)","(10.882352941176471, 17)","(4.529411764705882, 17)","(4.705882352941177, 17)","(3.6470588235294117, 17)","(4.647058823529412, 17)","(4.647058823529412, 17)","(4.235294117647059, 17)","(4.235294117647059, 17)",2,10,5,2,15,12,3,0,2,0
CHIN 0350,,,,,,,,,,,,,,,,,,,,,,,,,
CHIN 0500,4.83,0,4,6,4,1,"(7.0, 4)","(10.25, 4)","(5.0, 5)","(5.0, 5)","(4.0, 5)","(5.0, 5)","(5.0, 5)","(4.8, 5)","(4.8, 5)",0,5,0,0,5,5,0,0,0,0
CHIN 0700,3.65,0,5,11,1,1,"(3.3636363636363638, 11)","(7.090909090909091, 11)","(4.181818181818182, 11)","(4.363636363636363, 11)","(2.5, 10)","(4.181818181818182, 11)","(4.454545454545454, 11)","(3.125, 8)","(3.6666666666666665, 9)",2,9,0,3,8,9,2,0,0,0
