,ECON,MUSC,BEO,PHP,APMA,MDVL,EDUC,PLME,GRMN,TAPS,PRSN,MED,CSCI,CLAS,GREK,AFRI,MPA,UNIV,ETHN,LATN,HMAN,POBS,ARCH,ARTS,HEBR,MATH,DATA,NEUR,SLAV,LANG,SAST,EGYT,BIOL,GNSS,PHIL,IAPA,ENGL,MES,ENGN,COLT,HIST,HIAA,SANS,FREN,ANTH,HNDI,KREA,RELS,CZCH,EEPS,SOC,COST,URBN,EINT,ARAB,JUDS,SWED,SIGN,STS,RUSS,PHYS,EAST,LITR,ASYR,YORU,LACA,VISA,HISP,ITAL,POLS,MGRK,CHEM,EMOW,MCM,CLPS,ENVS,TKSH,JAPN,AMST,CHIN
ECON,0.28276946272226344,0.1562671315196368,0.18172298233712564,0.2621663235213094,0.23815808482095638,0.02268411490973219,0.2556331503123146,0.20431618586275593,0.18260578377054854,0.17252945095195632,0.17899015073582417,0.2293967196116379,0.20291014361906431,0.15709909377693698,0.14010593920180467,0.1871957219811313,0.2552347369002976,0.19494970603377676,0.1413905989130201,0.13544591616355667,0.1261648120590586,0.15248743066453138,0.08855127354741216,0.05310091595406291,0.16713138186427232,0.18615010270448412,0.2499629068572406,0.22168417600111973,0.15223852818264444,0.1710529319185521,0.20416983556650786,0.14646354500729308,0.22624862571173018,0.23740015233987094,0.20534030476694756,0.25211734574047157,0.17708793346082594,0.1700332651323102,0.20583918852521646,0.14763844590542033,0.18063808740486503,0.18496426059186957,0.16508319145724198,0.15375996153323082,0.21727195267480184,0.11338991322340551,0.14251043290286539,0.15645048679730034,0.15583249485326245,0.21258105791206244,0.25788159331005844,0.17242704608067597,0.2468059923352631,0.1625151368404669,0.15922124057672998,0.14700458534431374,0.17488251222115567,0.19736975304910848,0.04376897734655776,0.16764001678208293,0.15697419480745808,0.21704847107363073,0.15586313153774684,0.14950623555141018,0.19058442063954342,0.06161996389638703,0.18742201947593137,0.16553318298318645,0.151030763157188,0.24178932603207415,0.21328259639966504,0.1884137210322623,0.02193163376421622,0.12139866243178996,0.2395994597140655,0.25565304339843736,0.18513844525187287,0.1567416696480058,0.16933880804864965,0.16563258618701324
MUSC,0.15626713130106074,0.3211460699706129,0.23823306104944397,0.21373109576755212,0.18719734315031258,0.17783610623809587,0.24769212033873816,0.2330168602885452,0.23232562716824876,0.28578775683687935,0.27696323568967207,0.21605061255848138,0.20950770242259492,0.20039278141860176,0.19916476775257183,0.2255719453098955,0.1704941247890626,0.2041966375002327,0.19643384334169298,0.22176608006853646,0.21178866267226398,0.22121499313751378,0.18308909676797155,0.19998731827363372,0.2741352587731348,0.16080581959404022,0.1840193216635574,0.24214261092937603,0.227474662501158,0.23473294715923085,0.211609897773347,0.21592786028890665,0.23616819418088203,0.21506003133104876,0.18303062837663067,0.21018144818895557,0.2428838712747458,0.2197688777174797,0.20531642924802423,0.21520589539644183,0.20646907150402585,0.2416366539848177,0.23393059560071883,0.23019887489860627,0.22275770472449619,0.23513530422415999,0.23754835381017378,0.20128113730902183,0.252070470042074,0.21334600011677518,0.21138161262493574,0.2335629419067567,0.20121447155866512,0.26058629589129445,0.2852914247605777,0.18618939327347175,0.28210452167938155,0.27692382448456354,0.17275070637262818,0.24268011475626303,0.16281413404106085,0.23920985936254308,0.2515900897761673,0.2131409448548867,0.32516220581062416,0.18646169576002136,0.28617627815521157,0.24370604892352363,0.21252702026978448,0.18098257343781074,0.29186591160186154,0.21206283720390523,0.17179735793478257,0.20810207079254078,0.22405287009461622,0.2177603010599986,0.27249800129664237,0.23843083729863995,0.23616440465445554,0.24966185464106116
BEO,0.1817229927211047,0.23823305840940318,0.5172022119164467,0.28012152942506097,0.2051743661291724,0.15312520095612853,0.2782155464563904,0.24824316725134848,0.2100113997147197,0.2797642889916897,0.2805903196334839,0.26694394858554005,0.2748356518597248,0.1622413574850985,0.18738233589101583,0.19805390929644245,0.22022554146591575,0.2539605028368533,0.17620542517730167,0.1855408817095061,0.18754102513794937,0.19083371257781984,0.16209854349567027,0.20807230293750764,0.21144877336919307,0.16906730522486296,0.26378822028636933,0.26886968228679436,0.2984894891579946,0.21417729258537294,0.17896859725671155,0.18500341641095777,0.27566316329421253,0.19206356472837238,0.16265397974848747,0.23048842535160172,0.2119569441272725,0.1630092147072511,0.2758765617250811,0.16117200407066515,0.17662793323145928,0.2220359836656012,0.20403881420691808,0.19153805956166858,0.21055469905766538,0.21021188676357266,0.24826985970139503,0.17415068344954326,0.1932874361053109,0.21562377201792385,0.2279146692285744,0.21453399912764629,0.23043569892644883,0.2427365407347679,0.22351993198196093,0.13546294541770798,0.23472600430250168,0.2608644384145737,0.16086437448859212,0.20413281775333664,0.16425917094526812,0.18032278534956275,0.2612962509277794,0.181099953999122,0.29055706957976024,0.16790447949598997,0.2935014029559882,0.21708886749675554,0.18787378360732243,0.18299485406947924,0.3003115163743496,0.21931769231724663,0.14973822420462965,0.17580272208946615,0.23078144106336615,0.2676983327383087,0.24149919643998147,0.22276653233915567,0.22480881407294268,0.2718750018094267
PHP,0.262166321909619,0.2137310989471936,0.2801215174930668,0.42100973829751853,0.2952635892064937,0.09437186058937304,0.3445027935435183,0.342390701774102,0.22644159480760762,0.24899141318990048,0.25972284522313294,0.37148969373250806,0.3003459352846095,0.1875037086822614,0.1736450654805312,0.2320564765582122,0.3077460854238194,0.26794617236476614,0.19388107487518055,0.17512573680683674,0.1825376989707947,0.2142231703386642,0.14971228783311383,0.1405978470035635,0.22658446470080343,0.21313190648845576,0.3571200211394099,0.3277347358328454,0.2185904172113897,0.28063832916835746,0.24378870871534528,0.18959410329610216,0.3414664099735853,0.25866476960514967,0.22926174568994395,0.29731715803736075,0.23064088546507253,0.2131944046001104,0.2780936493542664,0.18256009818240912,0.2122460378503248,0.24680462764921138,0.19382558005674444,0.20313420639132848,0.2778858084035491,0.1849602616272203,0.2251115307041287,0.21104030308248414,0.22357192377117233,0.28227537074688347,0.31648248573318294,0.26579300957893615,0.2835928298454584,0.2696430923089865,0.24316242484225226,0.172816374719146,0.25064416550616225,0.2819594662299951,0.11783874261865175,0.21111384099416441,0.20390626307032855,0.24734174296730152,0.22527868812924254,0.1979782760720362,0.2808802460609219,0.13268281309924523,0.2750793961007561,0.22697197391999874,0.18654773559629484,0.2531411623996376,0.3221052149384476,0.2432498021657976,0.09221872419074505,0.18116672709205237,0.3281808908152772,0.3222026508375868,0.2713674327261783,0.23774277546263237,0.23178311638376928,0.26168521014394575
APMA,0.2381580822849477,0.18719734601000834,0.20517434497732062,0.29526358577037876,0.47891250533924357,0.05613971259113304,0.22895391654139557,0.220849669560097,0.1942520703726416,0.18356515928193234,0.21942147607518026,0.2498174857237203,0.3052268395595399,0.1586239156429269,0.16586897102935427,0.1787064715203217,0.20259527935115837,0.16646446955801789,0.13241268515652344,0.1920437050362428,0.13120604190009172,0.16518031841934508,0.10442797418072654,0.07431032277080556,0.21374431170176628,0.4018923267836576,0.3733702601962398,0.29326176122064185,0.17837232863891495,0.1878946344512551,0.15733347322166807,0.1975750732813175,0.26745788946197174,0.19160944409043676,0.21094562334452518,0.2061927692079347,0.18051905280481237,0.1686675442431812,0.31133605822856003,0.15389859975582626,0.15932245998847339,0.17664499845608814,0.20292820733820283,0.18100503569616858,0.21279328286643423,0.1484594535125896,0.16626895845023004,0.1562724024349449,0.1871812525692634,0.30091907333836354,0.24095597928889723,0.17683014044542952,0.20669221754055903,0.17040552747934018,0.21013110508608032,0.13377608074214026,0.23349972095253857,0.2184023355502029,0.06476834850879197,0.20767727715158185,0.2744597632349144,0.19024708979292015,0.17431502215033615,0.19142107886457166,0.2114378359392574,0.07812241032846232,0.2116942112409407,0.17652377195420352,0.16217918544309007,0.17902654022661263,0.23910562066837798,0.28311021382701945,0.0479025139134962,0.13457062169887452,0.26471790273931767,0.2241765866839922,0.1798788446494443,0.18124057891356304,0.17048260756028732,0.18002736898204094
MDVL,0.022684117037573445,0.17783610376924722,0.15312519741710276,0.09437186008495467,0.05613971657125106,0.881486599562598,0.12047693350604245,0.07360811977378033,0.10150632161769733,0.13214232218182587,0.16196647069106498,0.07478709760580386,0.06216545937228617,0.20008728306525622,0.11826264955743682,0.06643433153889108,0.01199547725555021,0.07162337127483623,0.3076242683021389,0.09377420560534423,0.4050608766288684,0.20382904468555352,0.560928663423696,0.7332224782556296,0.145890318051291,0.0707958913022098,0.0534835966231185,0.08243222849033863,0.26473411700377864,0.06461257520519817,0.026615185862673175,0.12778007186716422,0.11978356718315533,0.055018480705397305,0.020044416266318876,0.05439650105381588,0.09253291675638453,0.16262448380335368,0.07420141821606471,0.2510724107905844,0.18313436269847835,0.07566901990398228,0.13783224572155933,0.14149688367081883,0.12154596335583334,0.14214389994740487,0.16815042266777405,0.16331689299737004,0.047529338786262074,0.05202862891686285,0.06511849667194138,0.12347730375363931,0.01649070420317002,0.15553249308140948,0.14468345286392528,0.27493863049797557,0.12330776848830281,0.10455786995007654,0.7692640646697327,0.10947553830126046,0.07633042907924391,0.04131081273862946,0.059564740786704026,0.09447230887963086,0.1455021702374021,0.6982091155199063,0.10401335477692317,0.1624795215137772,0.20710966501036848,0.053867026503062604,0.05500208720295631,0.13028762576248162,0.8725950721674746,0.38242283381950365,0.04077523991505917,0.054092081976358744,0.088026822602842,0.21032764862757175,0.2651967166605876,0.13085551197790274
EDUC,0.25563314708693424,0.2476921132067107,0.2782155404316968,0.3445027875779187,0.2289539149272649,0.12047693109945676,0.4358544621804162,0.3089207525140253,0.2678966522709985,0.2938746692473069,0.31631714302575453,0.32451552719777,0.28113035895396293,0.2152161392414245,0.2070044601684364,0.27575686148339024,0.3250216154132745,0.3118148306276296,0.24576215042345753,0.20445117393251636,0.21390207375459855,0.2568679426318227,0.17942334516949562,0.16682549600553664,0.2952095863741191,0.18953242841513163,0.30260683801105437,0.3085024326157185,0.2636770280318913,0.36966903897366304,0.2866215966320757,0.22474731375053847,0.3093285171534904,0.29437227415128436,0.23877168696478074,0.3293218271692344,0.2693923599960677,0.2632686620775445,0.2574865486347505,0.21666069468072338,0.2573482272858817,0.2821673171834753,0.2382099865761789,0.23206074355469866,0.30401687885192613,0.22812879707278877,0.2576479466375092,0.24159050596769627,0.26788314155720433,0.2674400239983307,0.33268774271379437,0.277238232250436,0.3169420276736391,0.3698217750302163,0.3139916362893907,0.21758908225857684,0.31443318236490775,0.3426113818290419,0.13593484243232024,0.2538277886688949,0.18914240174180152,0.3106379949824949,0.26249098667196513,0.2311666550692813,0.3848880535398407,0.15854623110885224,0.30962472318740064,0.28327313193111303,0.21596770844787738,0.28682137371345967,0.3746786565166609,0.23521080932806154,0.1173327073256148,0.21056832489680036,0.3188043000341501,0.33650665325900214,0.3533389685715645,0.27255729851433363,0.2753556316711601,0.3239757879717468
PLME,0.2043161867341982,0.23301683961350741,0.24824317246675492,0.3423906979473806,0.22084967114117948,0.07360810818863682,0.30892074339348696,0.4012834082047145,0.2422737449884326,0.2685616556170862,0.2500351145863533,0.39578881952911615,0.2562231212498599,0.21083874947674172,0.1794924125521599,0.2503817260106344,0.2512059873901308,0.2639821406453848,0.21035049425803923,0.20833344582933933,0.18520189525424352,0.2151142258872278,0.1550284471435874,0.12147173266857861,0.2692275531589985,0.19441277359146625,0.2643432282842696,0.3160494416190956,0.22429579057885954,0.24482376873493192,0.27783830410667826,0.22333452585735358,0.3491366447425883,0.2531226192815946,0.25003214285476133,0.2823135051391243,0.24695012627979646,0.23634607371475017,0.2576549313221635,0.1918370468442195,0.23039725408490813,0.27022244080006586,0.21246205609835064,0.21951209861726967,0.27910308410915047,0.19720359370112417,0.19017291313502935,0.23521149331794064,0.2489667870104313,0.27218177555395023,0.261267446509849,0.28296792988354963,0.2501024458557367,0.23552437173202634,0.2568233249088128,0.19348096384783275,0.288246339187026,0.24503826275467872,0.1046097993676085,0.24540666075402193,0.21467355291126297,0.2577374094398692,0.2558258598747974,0.2296717663606008,0.28143964149057865,0.12233170038327956,0.3142971004480901,0.23701087076033495,0.18998411195263123,0.23268630027031417,0.3073998445644975,0.24818363230716547,0.07572031151357803,0.19973888792002858,0.291570527239872,0.29589702419581865,0.2873506713658571,0.23133001127280295,0.24079470205469988,0.23352523158038302
GRMN,0.18260578355304238,0.2323256200163289,0.2100113961313452,0.22644158981398857,0.19425206709702644,0.10150632187287556,0.2678966541351729,0.24227375564874992,0.3509437787372473,0.24425519486093739,0.3372093815179098,0.22149428226763293,0.20792848990519805,0.23057683295812648,0.25760978325741324,0.24947791950797774,0.18340409765396976,0.23073944182889092,0.20239869390097986,0.2821365052704803,0.18695021635200398,0.24338883588157062,0.14278629997905595,0.1156264805634107,0.3354485941134275,0.1806353378150959,0.210977212412815,0.2411018233405573,0.2516085333800653,0.29828340583850466,0.2301126731952437,0.272072663052573,0.22633525590400266,0.26214670816320423,0.24613592327483708,0.2339324639378035,0.2928661977775183,0.22419127548861056,0.1926546385310629,0.24551560963100655,0.23317869211394154,0.26459210055219684,0.2979561944819233,0.2906159311643846,0.2443383523545618,0.3145627647638321,0.2648505058900882,0.22786620338931607,0.28943222978462774,0.20482648825172606,0.22279042257720966,0.24092974276503637,0.2308676474195506,0.2933018746830168,0.33588951183039517,0.21837847282470663,0.3714041257543223,0.29070551193186217,0.10581359424738496,0.3261865947883903,0.1680730559306574,0.2984607958094871,0.2675529716535171,0.2535051471878967,0.36086405411599176,0.12739996659974268,0.2583918072568642,0.28429003384936613,0.2547858749661721,0.21048562082459404,0.32367048515450386,0.2213431276948092,0.09417445435704264,0.18297696829225893,0.2485862591691936,0.21949282666148784,0.33579207166275454,0.27593799220131976,0.2369781294937494,0.30667674014674257
TAPS,0.1725294476845061,0.28578775147040786,0.2797642775848508,0.24899140776523462,0.18356515965530065,0.1321423235000475,0.29387467254250277,0.2685616649477743,0.2442551931362167,0.3472742774669743,0.29906103822092217,0.2574794487373729,0.23785814766477784,0.19264336418817818,0.2026346986721425,0.2390571164555919,0.21308375524240547,0.23489659080898856,0.21053664402961397,0.22998044745298102,0.20053192476501627,0.23036205471176655,0.157479217720444,0.1721436882938724,0.24696129853216311,0.1468662206412145,0.1932875833301805,0.264102602274775,0.2293901332797638,0.2860849308036268,0.22838349606076788,0.2064363483953639,0.2594924161044844,0.23444485898774403,0.18979015018122736,0.23338966213761522,0.257962972687062,0.22420974441155392,0.23333418495002037,0.2083302765574938,0.20923883091491072,0.27487386547212833,0.2454184588753075,0.23513145406947783,0.24045380439106315,0.2676365238279104,0.2412226864028101,0.20362019779697554,0.2850565008277772,0.22049361372937537,0.23703737914034326,0.24774557551925278,0.24965049742138945,0.31694923419505355,0.2916176910356929,0.16842936034602138,0.3004050708655268,0.31393222596496345,0.13357473277003737,0.25022200475917833,0.16824822840588166,0.25676527816744055,0.29417594466834435,0.20919359310142074,0.35293356344103816,0.15684826103597282,0.34507542756993487,0.2618708551466592,0.21856222284657773,0.19413923463456825,0.3330585675199982,0.21735140421078541,0.13198460654955124,0.21153997598260332,0.24747315166419667,0.24628373004124676,0.29790090649342166,0.24295363337011078,0.24611475090735135,0.2907341030865375
