,EINT,UNIV,EEPS,RELS,ENVS,HMAN,CLAS,HISP,ARAB,ECON,HIST,CZCH,CLPS,URBN,JAPN,PHIL,CHEM,EMOW,MGRK,EAST,JUDS,BEO,MES,POBS,ETHN,SAST,ENGL,VISA,ENGN,GREK,EGYT,SANS,COLT,PRSN,COST,MDVL,PHYS,ASYR,FREN,DATA,APMA,LATN,SIGN,KREA,SOC,ITAL,GRMN,TAPS,ANTH,MED,HIAA,EDUC,ARTS,LACA,MPA,AMST,STS,IAPA,CHIN,SWED,NEUR,MATH,HNDI,CSCI,LITR,MCM,AFRI,TKSH,RUSS,MUSC,HEBR,PLME,YORU,LANG,PHP,ARCH,BIOL,GNSS,POLS,SLAV
EINT,0.6732598543167114,0.2647945731179789,0.20707069954923576,0.19405958760762587,0.254683209117502,0.19581944799574558,0.18103266133995796,0.2929000520585653,0.4286668145408233,0.16244882802296987,0.1990843006747414,0.31871312018483877,0.2803488630780273,0.20724200766999273,0.3710867613554001,0.19190869153942913,0.20806064241332933,0.14696971908034312,0.472570214048028,0.269944696163293,0.1557043327548955,0.2427365578711033,0.19793336359517916,0.2561081967746409,0.22191887311193914,0.20700366169746434,0.2635674724279314,0.3015836904068356,0.22401419387214377,0.24223582027480006,0.25311330418723327,0.3009563075999419,0.19576719558487335,0.476953628162543,0.2251622384517557,0.1555325030349195,0.1647028078744188,0.23280908136318126,0.2670177577063441,0.21345272031612694,0.16974171863998785,0.27535271178931,0.45265588313341143,0.3985600005835295,0.23848968349182262,0.22167788824970977,0.2932656168538545,0.3176155878154903,0.22335666564042464,0.23493303623981773,0.22800964981669913,0.3698234771025078,0.16502352375537158,0.16742013168568987,0.22342597795650362,0.23679787946983855,0.13593384377562848,0.25317467213608325,0.4546554073691368,0.40296313911676407,0.2582108883559704,0.17333683631890875,0.3769484400749207,0.23705864148319103,0.28583385919531185,0.19687134317187513,0.21761129915759694,0.37214032616466286,0.29404916715892876,0.2606175517430529,0.33019821842511493,0.21022554362813628,0.5368226940433184,0.4526233822107315,0.26960901086596717,0.14906679753214122,0.241294220950745,0.2362252189971817,0.19857790370690911,0.2577500231564045
UNIV,0.26479455539956687,0.28743452529112495,0.20599563512064162,0.20892716103456527,0.2887755472745214,0.16551751648330537,0.18277484346871023,0.23360156623016604,0.244777611301591,0.19506096764930642,0.2279899871761298,0.1994550673291087,0.2511512711678039,0.2543124506622553,0.21640317678451537,0.2199197137830779,0.18583001925014994,0.06800426214966657,0.2752368804067373,0.2698859385214746,0.20766830793840604,0.2541618127375841,0.22276367772636665,0.19799230243795765,0.21009539538894648,0.2689601294696331,0.2405351110524973,0.257464154927141,0.20577052164907483,0.1557940327329561,0.16653080102987589,0.1776269649310658,0.18517126414392676,0.21038795138398805,0.23689041341034076,0.07164530902955449,0.12198554782406427,0.1764827120428284,0.19569011409960999,0.2489069152623415,0.16818616279877377,0.15855559381390258,0.26278194710612296,0.19800248735118658,0.27796885761360707,0.1879697983690466,0.2307785209756167,0.2364022849119335,0.24589175657034876,0.2523300312645733,0.2315255752185712,0.3120333615405453,0.12391314420383423,0.11056737289017735,0.2581709863210563,0.22332493826583463,0.08688894621311472,0.27601593120925827,0.25320807488635183,0.2490470271557569,0.23455448574572801,0.1301602423775793,0.18293001538142561,0.22900001733548145,0.2240397233521152,0.17043958768718165,0.2436048273269723,0.28273501895368097,0.20506432862444357,0.20430117978669135,0.24776637603839238,0.2514646309117476,0.3044484709699949,0.2905605420159797,0.2678408688496761,0.13707667117100208,0.25260243257881493,0.2520907502310971,0.24353717009263004,0.2018810368763904
EEPS,0.2070706822975938,0.20599565026793806,0.38598006611806746,0.19792662424570442,0.3186184870978805,0.16223073046421632,0.18867773565995907,0.2021833843278799,0.23162092548602867,0.21274860386956396,0.2121215568855742,0.2236698264522212,0.27077005116210534,0.24747662803246862,0.20775922028059585,0.20987082423775325,0.3016644538538506,0.051519094330423384,0.27441478430160454,0.2498430040099525,0.16326395977495137,0.2155857258476317,0.2288890223756914,0.19551337357792123,0.16789806799109405,0.24178057624546645,0.2132410427966233,0.2622044024879101,0.28771211552512105,0.16524096832533056,0.2179347560195888,0.20048093164546618,0.1733166667210852,0.23347772439084355,0.23213072401340853,0.05211546203420204,0.23089945328674125,0.23899687915330842,0.18710964981254952,0.3144481476008271,0.2994613984472336,0.18484568288613135,0.23885043212877852,0.1747152492508388,0.25718102647356633,0.17317607961740578,0.20483210123072287,0.22117307456525617,0.2596599638320776,0.29858211129321716,0.2544949776987441,0.26750934053455555,0.09516914655687288,0.09550986377354549,0.22730188805255153,0.1995008932679277,0.07785543349152702,0.24794982089807735,0.18969531670759712,0.2112816699026596,0.28793670680551303,0.23696101322196608,0.1655617404086072,0.25548710489140825,0.2146363611240063,0.16144086297675125,0.21931191476995696,0.22001214755277726,0.23325326083907333,0.21336965340482753,0.2241367292996969,0.24073047941875836,0.23801532035161338,0.22848595808895808,0.28224345093144243,0.1367503646058252,0.30670889905046034,0.22653085739344417,0.21254574683239208,0.1856998910070471
RELS,0.19405958340697302,0.20892716725696422,0.19792662456148674,0.25575646364181887,0.21799559063982174,0.20587930185352357,0.23266412537482267,0.2151661907168911,0.2515322356678856,0.1556661131479643,0.232968753457851,0.20764661650233998,0.2137065301413355,0.2116599942610871,0.21571276536221073,0.21977229483168534,0.18521719469154724,0.1583492857334643,0.24473232636616254,0.2703694136022629,0.23744027955318517,0.170199437639288,0.24555099922318255,0.20832696560659641,0.21037796246465795,0.29527868225219817,0.22944721265857693,0.21337007075182055,0.16918945814718464,0.18939867268293004,0.2319304821727807,0.23178391901536896,0.22613690539017423,0.22145419964929008,0.28266864710302025,0.16181872752842233,0.132772982018505,0.2381643606861164,0.2077771211531702,0.17247544735607032,0.1554927079329033,0.20061217878814896,0.20974212339206133,0.15792028908051886,0.21486942066215142,0.1980879533073629,0.22653552434245025,0.20202741402203928,0.2431974534845675,0.20679062897882736,0.2422991974524045,0.2381323057733812,0.17158732028571347,0.17215621472759166,0.17803445522804395,0.22146768889864468,0.1637076371947391,0.22524672263995804,0.20037064375161814,0.2270313318197926,0.20036174836665546,0.14678942433070144,0.19343914197525008,0.16520052546257738,0.20135776907026648,0.19383933976582662,0.22466768317193841,0.2592470189081117,0.2336261000340473,0.1995411621618654,0.2782295530843031,0.2204724798745398,0.2503069700518002,0.2314172451151535,0.2085731847747762,0.18925545324564155,0.2048005551448645,0.23601705094531805,0.20500373566008456,0.18666645727838235
ENVS,0.2546831953472325,0.2887755502192747,0.31861849432354983,0.2179955911070999,0.39665034954391776,0.18776985147823802,0.1984771863882622,0.2247061493922467,0.24555908140563776,0.2559343417726032,0.24921418234358528,0.23327511176466942,0.293896919652997,0.33010273483537494,0.21902431802646743,0.23088377327214749,0.24123206905338165,0.05593029897271438,0.3114142206098352,0.29596394018846606,0.19154418703222834,0.2683147400972389,0.2645270351928716,0.21943296168013152,0.21558122123528775,0.3119279610461929,0.24307423268574488,0.27621670044171887,0.26028281290946176,0.1550087087407952,0.17404939708602984,0.1734191260027093,0.19145823563212822,0.2204672566481999,0.2662547875741477,0.05418978874270881,0.16945734977212157,0.20556090369317975,0.1949459978743338,0.2942444372922182,0.22444334449215586,0.15474343509888466,0.2731459323316813,0.16669185792783364,0.3146922233463316,0.18359946448391307,0.21946223474544832,0.24720895141648241,0.2926843616456448,0.3134355294917311,0.271203550633266,0.3365587950515911,0.12506084759897065,0.11372088287702292,0.30969017358230694,0.2395536897895318,0.08952450131419228,0.32297878318774836,0.22062550740286943,0.2248381409971487,0.2765919553373186,0.156018557795777,0.1601737019206796,0.25230913974569963,0.23379391023110618,0.18454403114192042,0.2580510297369398,0.2749283829970019,0.22443488486074878,0.2178197263782504,0.22835760607960678,0.27241147061189014,0.2755508045000689,0.2896881221778809,0.3221441481681453,0.15273537789759714,0.3124942269113994,0.28488049738197807,0.28125564240725287,0.19022267387943373
HMAN,0.19581943171215244,0.16551751443730608,0.16223073117067716,0.2058793020675959,0.1877698529070975,0.30328503317985217,0.22624636586072114,0.20923203235639343,0.20137874289624355,0.11792073444607974,0.22164806167408338,0.14990510661482404,0.15813298404351703,0.1591416723233124,0.20837759704882047,0.1439707411006384,0.17555158028775017,0.4435349061421307,0.18506399111938662,0.183715825666809,0.2461886038912174,0.1843254839128349,0.22185925870560044,0.2228141863068651,0.2522650866383715,0.17607678148695932,0.18501190059381473,0.19622323552586907,0.14993712678741467,0.16258865040648138,0.17399998412232284,0.17164948331386162,0.24011573574287987,0.19702586554922163,0.2055228114810335,0.4467433381516912,0.12015548085779301,0.16976685208889344,0.1877076445616088,0.14377749729355854,0.12311864816337918,0.15568734461339773,0.18203807084355503,0.16276115775690414,0.17485743090482384,0.20555752796148086,0.17903003955004915,0.19761217312050725,0.20516889739608302,0.16778220182604855,0.1906746270300991,0.20634607360976776,0.4099053930680384,0.3901328780828361,0.13112604771176847,0.2546567446590919,0.4116048256192955,0.17699949834945983,0.17668440412283717,0.18248768485500474,0.1710493387351744,0.11397149110656425,0.1598564005282242,0.13993270591052945,0.16437192250648675,0.28619200987397286,0.17048415944550582,0.19206075130423414,0.18414123925760412,0.20960166635419833,0.20272672815190163,0.15110753943493668,0.20907802778917053,0.16790394808534378,0.17634624563230894,0.34361336883170224,0.19256784136111132,0.17765762106137117,0.1594447549455414,0.2182473982902593
CLAS,0.18103265360480658,0.18277485057004486,0.18867773857372985,0.23266412885115845,0.19847718723745758,0.22624636052906108,0.26322835714750636,0.22817747689611614,0.2467221719292596,0.15544072163607267,0.24836011563325508,0.20150426770043042,0.19167700012172148,0.20469955085707758,0.19171546300855913,0.19915465190299544,0.17733611083932513,0.20434244670428836,0.2520751279571818,0.2675486337380048,0.24218585855402283,0.16265040691252108,0.24998687952818477,0.21546483749168543,0.21430450684934643,0.23880107459925096,0.2366104112207349,0.20035667372672503,0.15976866051861807,0.23289779897593824,0.2665461785904488,0.23494817114170688,0.25293234840039136,0.23921849997139272,0.22518395721014597,0.20650438280703115,0.12936268752242472,0.2596267179584556,0.21700453051167576,0.15390858645205974,0.1541986946297511,0.2338109634476024,0.19604340704951298,0.15390269065356274,0.20125685969176582,0.21630800745739837,0.22630406309837373,0.19280566252633058,0.24064767390866243,0.18593594895986218,0.25107645131675554,0.21426010746458285,0.20486093813346493,0.21084741583639705,0.16179469827631557,0.23166317667676703,0.20635436561090406,0.21694592633961024,0.1876407768157667,0.2218987898107756,0.18312827550392183,0.14469545361143377,0.20549991139107276,0.15185614539339598,0.19205354063746752,0.20884426108437076,0.21653392880512679,0.25978287092638547,0.2573089035884838,0.1993772191919052,0.2642451346978361,0.19693967033131624,0.24237704755347453,0.21756703631929408,0.186362060973097,0.22926048235859964,0.196789543639615,0.23615864948815102,0.20104520906397996,0.20455277555788878
HISP,0.29290003688348565,0.23360157883623342,0.20218338567839547,0.2151661895534512,0.2247061452056974,0.20923203400343482,0.22817747344144707,0.3375545544597551,0.33244194065713706,0.1609601686460922,0.23521330767701612,0.26305292843950584,0.21694295367980526,0.23252447754493916,0.2655646140618688,0.19064674596065956,0.20033484041782892,0.17502576200205425,0.3167777683120221,0.27546006347962676,0.22105386756452597,0.2150162147152621,0.24754942456815987,0.269926057269979,0.23928648401221328,0.22614164655918584,0.2740925322734173,0.2728218230582021,0.18626831140031647,0.22680353057997613,0.244691542935827,0.2674633621628506,0.25591732659440747,0.321022273607406,0.22095934648597096,0.17879257238703705,0.141092044338447,0.22310750250015224,0.2604816307099171,0.17196359732325245,0.17195589064490482,0.2781642767167337,0.30461780366980856,0.2286378302720978,0.22278163301499299,0.24876720712117734,0.27761626365648046,0.25958513624228663,0.24011042446741232,0.21422535484444405,0.26313724160410573,0.27780059167539556,0.193086759896045,0.2050196978071375,0.18991751439444832,0.24659420693574707,0.1697582677823209,0.23216291733304245,0.2870111161185538,0.33261050885159743,0.21916796759236604,0.15149605696174853,0.27352351566009664,0.19276565160229617,0.2593107410911258,0.20963653038549057,0.24275565535328492,0.3168203600250897,0.2920574883137889,0.24051187948639885,0.3226461881844729,0.2136280319069092,0.35782499801294476,0.3451535465086208,0.22287025263388036,0.19264529717236975,0.22800382995879112,0.2380147698739379,0.20505393770552371,0.24680820974640036
ARAB,0.42866678442806005,0.24477761102219422,0.23162091318111394,0.25153222342972487,0.24555905828518526,0.20137873269656362,0.24672215751998908,0.33244193351699736,0.5952893843253454,0.15952443399009833,0.25326938142471417,0.36199798559149104,0.24887434205774106,0.24811894406254092,0.3841200184697906,0.2048398264598412,0.23404253629053495,0.13035121114392365,0.41725386747469506,0.3601786570701127,0.2290577165549621,0.22316459144155185,0.31085104858946233,0.27581772044635355,0.2403965872741999,0.2767183276869002,0.3091133713459305,0.321497710124738,0.2183379077714337,0.27295875969058314,0.34463748525983345,0.3551010713757326,0.2575064532704548,0.5278817373845313,0.2567493628701885,0.14283074260310968,0.17413573462011603,0.3162690543880065,0.3062966857221909,0.21127847662137356,0.20910886748217392,0.32513124614377464,0.4460192715128263,0.3742366840855943,0.23636790592169676,0.2687614185583348,0.33602194484352826,0.29266402840322886,0.26679643754783666,0.23703817362547852,0.2901397818691089,0.3137561324020398,0.1481763084884733,0.16568114839739995,0.19940058094216512,0.2592686840584039,0.12960208622533748,0.2542842914537889,0.4185824597875277,0.46661653866370517,0.2309233415677833,0.2016413289838414,0.4806846285859744,0.23263703762075763,0.30825850264065796,0.2093402076809204,0.2670161384839292,0.48118210062384603,0.37800602137224015,0.28507754586893563,0.4995000809431076,0.23882415807909435,0.5252789043717914,0.41861160430643296,0.24298814934426335,0.1829441529419273,0.23869479777304234,0.24399673664528462,0.2214029442573733,0.24207932683121827
ECON,0.16244881738133826,0.19506097188682414,0.21274860723961866,0.15566611243608433,0.2559343412657792,0.11792073169815127,0.15544071796249773,0.16096016962519305,0.15952444271661986,0.2824594261737241,0.1798690070447433,0.15631308714690587,0.239708754006854,0.2469938133792395,0.15697580210934126,0.20538438056459138,0.1894752802742646,0.02335185304394139,0.2133839529077255,0.2173771095668212,0.1468975697807973,0.18170845959691503,0.17028312864124603,0.1482983273064544,0.14155078970782844,0.20443516323260338,0.17724162437447305,0.1877743119925683,0.20602536221465717,0.1433946903927365,0.14656208183135128,0.16508500059951503,0.14769910185000595,0.17830750167947904,0.17260238892224225,0.02281279604558849,0.15759390241867896,0.14971548651337938,0.1537588455909426,0.2503440294857672,0.23945715837784318,0.13505611013078586,0.19741441850154393,0.1427794637945097,0.25798599614403983,0.1510956736413678,0.18264432353499999,0.17367451668257997,0.21749049908312182,0.22967918874440318,0.18625078497085062,0.25576254996958175,0.053306746001933414,0.06040840368436512,0.25526580217731953,0.16854164567392813,0.044746330849700214,0.25351806423379625,0.1595787376788056,0.17505359236718337,0.21993962005872664,0.18621410219825194,0.1135700317543942,0.20234351711111787,0.1556782826339103,0.12164489480715646,0.1877453462556887,0.18534913476042705,0.16778551935740865,0.15637353689439973,0.16723155222277397,0.18242153121489438,0.18604551983544054,0.17101663331790218,0.26218055591112444,0.09001082882251665,0.22633160971481783,0.24180283818828385,0.2419174638324592,0.15230254411351263
